Website URL,Industry,Sub-Industry,Services,Target Clients
http://example1.com,E-commerce,Fashion,Buy the latest fashion trends online,"Young adults, fashion enthusiasts"
http://example2.com,Education,Online Courses,Learn programming with our interactive courses,"Students, professionals"
http://example3.com,Healthcare,Telemedicine,Get virtual consultations with doctors,"Patients, health-conscious individuals"
http://example4.com,Technology,Software Development,Develop custom software solutions,"Businesses, startups"
http://example5.com,Finance,Investment,Manage your investments effectively,"Investors, financial analysts"
http://example.com,Home,Services,Plumbing,Homeowners
http://example.com,Home,Services,Roofing,Homeowners
http://example.com,Home,Services,Tree Services,Homeowners
http://example.com,Marketing,Digital,Social media management,Businesses
http://example.com,Marketing,Digital,SEO Services,Businesses
http://example.com,Marketing,Digital,Content marketing,Businesses
http://example.com,Marketing,Digital,PPC Advertising,Businesses
http://example.com,Marketing,Digital,Email Marketing,Businesses
